RefID,Setting,Title,Authors,Year,Attrition outcome,Attrition outcome definition,Attrition related analysis,Measures of effect and significance,Number of RCTs,Participants unit,Participants value,Dropout measure,Dropout statistic,Dropout value
107,Chronic pain,Dropout associated with osteopathic manual treatment for chronic noncancerous pain in randomized controlled trials.,"Rehman, Yasir, Ferguson, Hannah, Bozek, Adelina, Blair, Joshua, Allison, Ashley, Johnston, Robert",2021,All cause dropout,Not defined,Random effects model,"Odds ratios, 95% CI, p-value",11,N,1015,All cause dropout,%,28.28
107,Chronic pain,Dropout associated with osteopathic manual treatment for chronic noncancerous pain in randomized controlled trials.,"Rehman, Yasir, Ferguson, Hannah, Bozek, Adelina, Blair, Joshua, Allison, Ashley, Johnston, Robert",2021,Dropout due to AE,Not defined,Random effects model,"Odds ratios, 95% CI, p-value",11,N,1015,All cause dropout,%,28.28
111,"Anxiety, Stress",Dropout from exercise randomized controlled trials among people with anxiety and stress-related disorders: A meta-analysis and meta-regression.,"Vancampfort, Davy, Sanchez, Carlos Pelayo Ramos, Hallgren, Mats, Schuch, Felipe, Firth, Joseph, Rosenbaum, Simon, Van Damme, Tine, Stubbs, Brendon",2021,Treatment dropout rate,Unexpected patient attrition among individuals who were randomised to a treatment but failed to complete it,"Random effects model, Metaregression, Subgroup analyses","Pooled dropout rate, Coefficient, 95% CI, p-value",14,NR,NR,Pooled dropout rate,% [95% CI],"15.7 [9.9, 23.9]"
113,Borderline personality disorder,Dropout rates from psychotherapy trials for borderline personality disorder: A meta-analysis.,"Iliakis, Evan Alexander, Ilagan, Gabrielle Silva, Choi-Kain, Lois Wonsun",2021,Dropout rate,Proportion of those starting treatment that did not complete treatment,"Random effects model, Metaregression","Pooled dropout rate, Weighted pooled odds ratio, 95% CI,  p-value",32,NR,NR,Pooled dropout rate,% [95% CI],"27.7 [24.1, 31.7]"
120,PTSD,Posttraumatic Stress Disorder Treatment Dropout Among Military and Veteran Populations: A Systematic Review and Meta-Analysis.,"Edwards-Stewart, Amanda, Smolenski, Derek J, Bush, Nigel E, Cyr, Betty-Ann, Beech, Erin H, Skopp, Nancy A, Belsher, Bradley E",2021,Primary and secondary treatment dropout,Total number of participants who stopped attending treatment sessions,"Random effects model, Unstructured correlation matrix, Subset analysis","Dropout proportion, Risk ratio, 95% CI",20,N,2984,TFT dropout rate,Proportion [95% CI],"0.27 [0.21, 0.34]"
120,PTSD,Posttraumatic Stress Disorder Treatment Dropout Among Military and Veteran Populations: A Systematic Review and Meta-Analysis.,"Edwards-Stewart, Amanda, Smolenski, Derek J, Bush, Nigel E, Cyr, Betty-Ann, Beech, Erin H, Skopp, Nancy A, Belsher, Bradley E",2021,Primary and secondary treatment dropout,Total number of participants who stopped attending treatment sessions,"Random effects model, Unstructured correlation matrix, Subset analysis","Dropout proportion, Risk ratio, 95% CI",20,N,2984,Non-TFT dropout rate,Proportion [95% CI],"0.16 [0.12, 0.21]"
120,PTSD,Posttraumatic Stress Disorder Treatment Dropout Among Military and Veteran Populations: A Systematic Review and Meta-Analysis.,"Edwards-Stewart, Amanda, Smolenski, Derek J, Bush, Nigel E, Cyr, Betty-Ann, Beech, Erin H, Skopp, Nancy A, Belsher, Bradley E",2021,Primary and secondary treatment dropout,Total number of participants who stopped attending treatment sessions,"Random effects model, Unstructured correlation matrix, Subset analysis","Dropout proportion, Risk ratio, 95% CI",20,N,2984,Waitlist dropout rate,Proportion [95% CI],"0.07 [0.02, 0.14]"
120,PTSD,Posttraumatic Stress Disorder Treatment Dropout Among Military and Veteran Populations: A Systematic Review and Meta-Analysis.,"Edwards-Stewart, Amanda, Smolenski, Derek J, Bush, Nigel E, Cyr, Betty-Ann, Beech, Erin H, Skopp, Nancy A, Belsher, Bradley E",2021,Waitlist dropout,Participants who withdrew from the study during the treatment phase,"Random effects model, Unstructured correlation matrix, Subset analysis","Dropout proportion, Risk ratio, 95% CI",20,N,2984,TFT dropout rate,Proportion [95% CI],"0.27 [0.21, 0.34]"
120,PTSD,Posttraumatic Stress Disorder Treatment Dropout Among Military and Veteran Populations: A Systematic Review and Meta-Analysis.,"Edwards-Stewart, Amanda, Smolenski, Derek J, Bush, Nigel E, Cyr, Betty-Ann, Beech, Erin H, Skopp, Nancy A, Belsher, Bradley E",2021,Waitlist dropout,Participants who withdrew from the study during the treatment phase,"Random effects model, Unstructured correlation matrix, Subset analysis","Dropout proportion, Risk ratio, 95% CI",20,N,2984,Non-TFT dropout rate,Proportion [95% CI],"0.16 [0.12, 0.21]"
120,PTSD,Posttraumatic Stress Disorder Treatment Dropout Among Military and Veteran Populations: A Systematic Review and Meta-Analysis.,"Edwards-Stewart, Amanda, Smolenski, Derek J, Bush, Nigel E, Cyr, Betty-Ann, Beech, Erin H, Skopp, Nancy A, Belsher, Bradley E",2021,Waitlist dropout,Participants who withdrew from the study during the treatment phase,"Random effects model, Unstructured correlation matrix, Subset analysis","Dropout proportion, Risk ratio, 95% CI",20,N,2984,Waitlist dropout rate,Proportion [95% CI],"0.07 [0.02, 0.14]"
121,PTSD,The Effect of Concurrent Depression on PTSD Outcomes in Trauma-Focused Psychotherapy: A Meta-Analysis of Randomized Controlled Trials.,"Kline, Alexander C, Cooper, Andrew A, Rytwinski, Nina K, Feeny, Norah C",2021,Dropout rate,"Patients who were randomised but failed to complete treatment as prescribed, except those who were removed administratively",Random effects model,"Mean, Standard deviation, Coefficient, p-value",44,N,4866,Dropout rate,Mean (SD),0.21 (0.11)
145,Stroke,"Transcranial direct current stimulation (tDCS) for improving activities of daily living, and physical and cognitive functioning, in people after stroke.","Elsner, Bernhard, Kugler, Joachim, Pohl, Marcus, Mehrholz, Jan",2020,Dropouts,Not defined,"Random effects model, Mantel-Haenszel method","Risk difference, 95% CI",22,NR,NR,NR,NR,NR
146,Addiction,Maintenance agonist treatments for opiate-dependent pregnant women.,"Minozzi, Silvia, Amato, Laura, Jahanfar, Shayesteh, Bellisario, Cristina, Ferri, Marica, Davoli, Marina",2020,Dropout from treatment,Number of women who had dropped out at the end of the intervention,Random effects model,"Risk ratio, 95% CI",3,N,223,NR,NR,NR
153,Smoking cessation,Tailored Web-Based Smoking Interventions and Reduced Attrition: Systematic Review and Meta-Analysis.,"Shah, Amika, Chaiton, Michael, Baliunas, Dolly, Schwartz, Robert",2020,Dropout attrition,Not defined,"Random effects model, Mantel-Haenszel method, Two-tailed test, Sensitivty analysis","Risk ratio, 95% CI, p-value",11,NR,NR,NR,NR,NR
201,PTSD,Developments of prolonged exposure in treatment effect of post-traumatic stress disorder and controlling dropout rate: A meta-analytic review.,"Zhou, Yaoguang, Sun, Luna, Wang, Yan, Wu, Lili, Sun, Zhuoer, Zhang, Fan, Liu, Weizhi",2020,Dropout,Those who did not complete intervention (used if author did not state meaning),"Random effects model, Metaregression","Hedges g, Odds ratio, 95% CI, Coefficient, p-value",18,N,1422,NR,NR,NR
211,Depression,Dropout rates in clinical trials of smartphone apps for depressive symptoms: A systematic review and meta-analysis.,"Torous, John, Lipschitz, Jessica, Ng, Michelle, Firth, Joseph",2020,Dropout rate,Number of participants in each group who completed end-of-intervention assessments divided by total number randomised to that condition for each arm of study,"Random effects model, Metaregression, Subgroup analyses","Pooled dropout estimate, 95% CI, Z-value, Coefficient, SE, p-value ",18,N,3336,App-based intervention pooled dropout rate,% [95% CI],"26.2 [18.12, 36.34]"
211,Depression,Dropout rates in clinical trials of smartphone apps for depressive symptoms: A systematic review and meta-analysis.,"Torous, John, Lipschitz, Jessica, Ng, Michelle, Firth, Joseph",2020,Dropout rate,Number of participants in each group who completed end-of-intervention assessments divided by total number randomised to that condition for each arm of study,"Random effects model, Metaregression, Subgroup analyses","Pooled dropout estimate, 95% CI, Z-value, Coefficient, SE, p-value ",18,N,3336,Placebo app intervention pooled dropout rate,% [95% CI],"25.1 [11.34, 46.75]"
211,Depression,Dropout rates in clinical trials of smartphone apps for depressive symptoms: A systematic review and meta-analysis.,"Torous, John, Lipschitz, Jessica, Ng, Michelle, Firth, Joseph",2020,Dropout rate,Number of participants in each group who completed end-of-intervention assessments divided by total number randomised to that condition for each arm of study,"Random effects model, Metaregression, Subgroup analyses","Pooled dropout estimate, 95% CI, Z-value, Coefficient, SE, p-value ",18,N,3336,Waitlist intervention pooled dropout rate,% [95% CI],"20.45 [5.14, 54.9]"
214,Depression,No benefit from flexible titration above minimum licensed dose in prescribing antidepressants for major depression: systematic review.,"Furukawa, T A, Salanti, G, Cowen, P J, Leucht, S, Cipriani, A",2020,Dropout due to AE,Not defined,Random effects model,"Odds ratio, 95% CI, Ratio of odds ratio (ROdds ratio >1 indicates superiority of flexible vs fixed dose), p-value",123,N,29420,NR,NR,NR
214,Depression,No benefit from flexible titration above minimum licensed dose in prescribing antidepressants for major depression: systematic review.,"Furukawa, T A, Salanti, G, Cowen, P J, Leucht, S, Cipriani, A",2020,Dropout for any reason,Not defined,Random effects model,"Odds ratio, 95% CI, Ratio of odds ratio (ROdds ratio >1 indicates superiority of flexible vs fixed dose), p-value",123,N,29420,NR,NR,NR
215,T2D,"Drop-out ratio between moderate to high-intensity physical exercise treatment by patients with, or at risk of, type 2 diabetes mellitus: A systematic review and meta-analysis.","Jabardo-Camprubi, Guillem, Donat-Roca, Rafel, Sitja-Rabert, Merce, Mila-Villarroel, Raimon, Bort-Roig, Judit",2020,Dropout odds ratio,Not defined,"Random effects model, Subgroup analyses","Odds ratio, 95% CI",23,N,1684,NR,NR,NR
217,Mental health,Association of Patient Treatment Preference With Dropout and Clinical Outcomes in Adult Psychosocial Mental Health Interventions: A Systematic Review and Meta-analysis.,"Windle, Emma, Tee, Helena, Sabitova, Alina, Jovanovic, Nikolina, Priebe, Stefan, Carr, Catherine",2020,Dropout rate,Not defined,"Random effects model, Metaregression, Sensitivity analyses","Pooled risk ratio, 95% CI, p-value",16,N,1857,Dropout rate for patients who received preferred accommodation,%,18.8
217,Mental health,Association of Patient Treatment Preference With Dropout and Clinical Outcomes in Adult Psychosocial Mental Health Interventions: A Systematic Review and Meta-analysis.,"Windle, Emma, Tee, Helena, Sabitova, Alina, Jovanovic, Nikolina, Priebe, Stefan, Carr, Catherine",2020,Dropout rate,Not defined,"Random effects model, Metaregression, Sensitivity analyses","Pooled risk ratio, 95% CI, p-value",16,N,1857,Dropout rate for patients who didn't receive preferred accommodation,%,33.5
221,Depression,Meta-analysis of placebo group dropout in adult antidepressant trials.,"Li, Fenghua, Nasir, Madeeha, Olten, Baris, Bloch, Michael H",2020,Placebo dropout rate,Not defined,"Random effects model, Univariate and multivariate regression, Subgroup analyses","Dropout rate, 95% CI, Coefficient, p-value",148,Mean (SD),120.7 (71.5),Overall placebo dropout rate,Rate [95% CI],"0.25 (0.27, 0.27]"
222,Mental health,Attrition and adherence in smartphone-delivered interventions for mental health problems: A systematic and meta-analytic review.,"Linardon, Jake, Fuller-Tyszkiewicz, Matthew",2020,Study attrition,"The number of participants randomised and who then did not complete the research protocol, which included failure to complete the follow-up assessments","Random effects model, Mixed effects model, Subgroup analyses","Attrition rate, Odds ratio, 95% CI, p-value",70,NR,NR,Weighted study attrition rates for short-term follow-up,% [95% CI],"24.1 [19.3, 29.6]"
222,Mental health,Attrition and adherence in smartphone-delivered interventions for mental health problems: A systematic and meta-analytic review.,"Linardon, Jake, Fuller-Tyszkiewicz, Matthew",2020,Study attrition,"The number of participants randomised and who then did not complete the research protocol, which included failure to complete the follow-up assessments","Random effects model, Mixed effects model, Subgroup analyses","Attrition rate, Odds ratio, 95% CI, p-value",70,NR,NR,Weighted study attrition rates for long-term follow-up,% [95% CI],"35.5 [26.7, 45.3]"
225,"Rheumatoid arthritis, oesteoarthritis",Association Between Participant Retention and the Proportion of Included Elderly People in Rheumatology Trials: Results From a Series of Exploratory Meta-Regression Analyses.,"Palmowski, Andriko, Nielsen, Sabrina M, Buttgereit, Thomas, Palmowski, Yannick, Boers, Maarten, Christensen, Robin, Buttgereit, Frank",2020,Participant retention,Not defined,"Random effects model, Mixed effects model, Metaregression, Sensitivity analyses","Pooled retention rate, 95% CI, p-value, Coefficient",243,N,>48000,NR,NR,NR
225,"Rheumatoid arthritis, oesteoarthritis",Association Between Participant Retention and the Proportion of Included Elderly People in Rheumatology Trials: Results From a Series of Exploratory Meta-Regression Analyses.,"Palmowski, Andriko, Nielsen, Sabrina M, Buttgereit, Thomas, Palmowski, Yannick, Boers, Maarten, Christensen, Robin, Buttgereit, Frank",2020,Attrition due to adverse events,Not defined,"Random effects model, Mixed effects model, Metaregression, Sensitivity analyses","Pooled retention rate, 95% CI, p-value, Coefficient",243,N,>48000,NR,NR,NR
225,"Rheumatoid arthritis, oesteoarthritis",Association Between Participant Retention and the Proportion of Included Elderly People in Rheumatology Trials: Results From a Series of Exploratory Meta-Regression Analyses.,"Palmowski, Andriko, Nielsen, Sabrina M, Buttgereit, Thomas, Palmowski, Yannick, Boers, Maarten, Christensen, Robin, Buttgereit, Frank",2020,Attrition due to lack of efficacy,Not defined,"Random effects model, Mixed effects model, Metaregression, Sensitivity analyses","Pooled retention rate, 95% CI, p-value, Coefficient",243,N,>48000,NR,NR,NR
227,Mental health,A systematic review and meta-analysis of dropout rates from dialectical behaviour therapy in randomized controlled trials.,"Dixon, Lucas J, Linardon, Jake",2020,Dropout,Number of participants who dropped out of DBT defined by either,"Random effects model, Borenstein et al. method, Mixed effects model, Subgroup analyses","Dropout rate, Odds ratio, 95% CI, p-value",40,NR,NR,Weighted mean dropout rate,% [95% CI],"28 [23.6, 32.9]"
227,Mental health,A systematic review and meta-analysis of dropout rates from dialectical behaviour therapy in randomized controlled trials.,"Dixon, Lucas J, Linardon, Jake",2020,Treatment dropout,When participants dropped out anytime during the course of DBT regardless of what session they were up to,"Random effects model, Borenstein et al. method, Mixed effects model, Subgroup analyses","Dropout rate, Odds ratio, 95% CI, p-value",40,NR,NR,Weighted mean dropout rate,% [95% CI],"28 [23.6, 32.9]"
227,Mental health,A systematic review and meta-analysis of dropout rates from dialectical behaviour therapy in randomized controlled trials.,"Dixon, Lucas J, Linardon, Jake",2020,Study dropout,"When participants failed to complete post-test/follow-up assessments, or when unspecified that participants dropped out during treatment","Random effects model, Borenstein et al. method, Mixed effects model, Subgroup analyses","Dropout rate, Odds ratio, 95% CI, p-value",40,NR,NR,Weighted mean dropout rate,% [95% CI],"28 [23.6, 32.9]"
256,Schizophrenia,Meta-analysis of Dropout Rates in Placebo-Controlled Randomized Clinical Trials of Atypical Antipsychotics Assessed by PANSS.,"Matsusaki, Akiko, Kaneko, Masayuki, Narukawa, Mamoru",2019,Dropout owing to lack of efficacy,Not defined,"Random effects model, Univariate and multivariate metaregression","Coefficients, standard error, p-value",47,N,20481,NR,NR,NR
256,Schizophrenia,Meta-analysis of Dropout Rates in Placebo-Controlled Randomized Clinical Trials of Atypical Antipsychotics Assessed by PANSS.,"Matsusaki, Akiko, Kaneko, Masayuki, Narukawa, Mamoru",2019,Dropout owing to adverse events,Not defined,"Random effects model, Univariate and multivariate metaregression","Coefficients, standard error, p-value",47,N,20481,NR,NR,NR
269,Anxiety disorders,A meta-analytic examination of attrition in virtual reality exposure therapy for anxiety disorders.,"Benbow, Amanda A, Anderson, Page L",2019,Attrition,Number of participants randomised to a virtual reality exposure therapy (VRET) or in vivo exposure treatment condition who did not complete the number of treatment sessions specified by the trial,"Random effects model, Mantel-Haenszel method, Metaregression, Subgroup analyses","Odds ratios, 95% CI, p-value",46,N,1057,NR,NR,NR
282,Mental health,Dropout from interpersonal psychotherapy for mental health disorders: A systematic review and meta-analysis.,"Linardon, Jake, Fitzsimmons-Craft, Ellen E, Brennan, Leah, Barillaro, Mary, Wilfley, Denise E",2019,Dropout,"Number of patients who started interpersonal therapy (IPT) and who were then identified as a dropout according to study author definitions, thus included in the intention-to-treat analysis (e.g. those who stopped attending sessions or failed to provide post-treatment data)","Random effects model, Borenstein et al. method, Mixed effects model, Metaregression, Subgroup analyses","Pooled dropout rate, Odds ratios, 95% CI, Coefficient, p-value",72,NR,NR,Weighted mean dropout rate,(%) [95% CI],"20.6 [17.4, 24.2]"
288,Addiction,Comparative efficacy and acceptability of psychosocial interventions for individuals with cocaine and amphetamine addiction: A systematic review and network meta-analysis.,"De Crescenzo, Franco, Ciabattini, Marco, D'Alo, Gian Loreto, De Giorgi, Riccardo, Del Giovane, Cinzia, Cassar, Carolina, Janiri, Luigi, Clark, Nicolas, Ostacher, Michael Joshua, Cipriani, Andrea",2018,Acceptability (dropout due to any cause),Proportion of participants who dropped out from the study due to any cause,"Random effects model, Network meta-analysis, Subgroup network meta-analysis","Odds ratios, 95% CI, p-value",50,N,6942,NR,NR,NR
301,Dementia,Antidepressants for treating depression in dementia.,"Dudas, Robert, Malouf, Reem, McCleery, Jenny, Dening, Tom",2018,Tolerability (withdrawal from trial),Not defined,"Fixed effects, Mantel-Haenszel method","Odds ratio, 95% CI, p-value",9,NR,NR,NR,NR,NR
326,Eating disorders,"Dropout from cognitive-behavioral therapy for eating disorders: A meta-analysis of randomized, controlled trials.","Linardon, Jake, Hindle, Annemarie, Brennan, Leah",2018,Dropout rate,The number of participants who started CBT (or comparison condition) and who were then identified as dropouts according to the author's definition of dropout. Includes any individual who would be included in the ITT population (e.g. those who never attended a session).,"Mixed effects model, Metaregression, Subgroup analyses","Odds ratio, 95% CI, p-value, Coefficients, standard error",99,NR,NR,Overall CBT dropout rate,% [95% CI],"24 [22, 27]"
327,Psychological and behavioural health problems,A meta-analysis of dropout rates in acceptance and commitment therapy.,"Ong, Clarissa W, Lee, Eric B, Twohig, Michael P",2018,Dropout,Attrition following the start of therapy,"Random effects model, Metaregression","Weighted dropout rates, 95% CI, Coefficients, p-value",68,N,4729,Weighted mean dropout rate,% [95% CI],"15.8 [11.9, 20.1]"
358,OCD,Drop-out and efficacy of group versus individual cognitive behavioural therapy: What works best for Obsessive-Compulsive Disorder? A systematic review and meta-analysis of direct comparisons.,"Pozza, Andrea, Dettore, Davide",2017,Dropout rate,Number of participants who did not complete all the scheduled treatment sessions,Random effects model,"Odds ratios, 95% CI, p-value",6,N,307,NR,NR,NR
378,Schizophrenia,"Sixty Years of Placebo-Controlled Antipsychotic Drug Trials in Acute Schizophrenia: Systematic Review, Bayesian Meta-Analysis, and Meta-Regression of Efficacy Predictors.","Leucht, Stefan, Leucht, Claudia, Huhn, Maximilian, Chaimani, Anna, Mavridis, Dimitris, Helfer, Bartosz, Samara, Myrto, Rabaioli, Matteo, Bacher, Susanne, Cipriani, Andrea, Geddes, John R, Salanti, Georgia, Davis, John M",2017,Dropout rate,Discontinuation related to any cause and inefficacy,"Random effects model, Bayesian hierarchical framework","Risk ratios, 95% CI, odds ratios, Coefficient, p-value",167,N,28102,Mean dropout rate,% (SD),37.2 (20.5)
396,Mental health,"Treatment refusal and premature termination in psychotherapy, pharmacotherapy, and their combination: A meta-analysis of head-to-head comparisons.","Swift, Joshua K, Greenberg, Roger P, Tompkins, Kelley A, Parkin, Susannah R",2017,Premature termination,Attending at least one session but failing to complete the treatment as defined by study authors,Random effects model,"Odds ratios, 95% CI, p-value",182,N,17891,Weighted mean premature termination rate,% [95% CI],"21.9 [20.6, 23.3]"
399,Schizophrenia,Attrition in trials evaluating complex interventions for schizophrenia: Systematic review and meta-analysis.,"Szymczynska, P, Walsh, S, Greenberg, L, Priebe, S",2017,Dropout from experimental intervention,Proportion of participants reported as not completing the intervention according to author's definition,"Random effects model, Metaregression","Coefficient, 95% CI, p-value",43,N,8640,Overall dropout from intervention,% [95% CI],"14 [13, 15]"
399,Schizophrenia,Attrition in trials evaluating complex interventions for schizophrenia: Systematic review and meta-analysis.,"Szymczynska, P, Walsh, S, Greenberg, L, Priebe, S",2017,Dropout from study,Proportion of participants who did not complete the last follow-up assessment in all study arms,"Random effects model, Metaregression","Coefficient, 95% CI, p-value",43,N,8640,Overall dropout from study,% [95% CI],"20 [4, 71]"
413,HIV,Dropout from physical activity interventions in people living with HIV: a systematic review and meta-analysis.,"Vancampfort, D, Mugisha, J, Richards, J, De Hert, M, Lazzarotto, A R, Schuch, F B, Probst, M, Stubbs, B",2017,Treatment dropout rate,Unexpected patient attrition among individuals who were randomised to a treatment but failed to complete it until the end of the study,"Random effects model, Metaregression","Dropout rate, 95% CI, p-value, Coefficient",36,N,1128,Pooled physical activity dropout rate,% [95% CI],"22.6 [18.9, 26.9]"
415,Vocal rehabilitation,Factors Associated With Attrition in Randomized Controlled Trials of Vocal Rehabilitation: Systematic Review and Meta-Analysis.,"de Campos Moreira, Tais, Gadenz, Camila Dalbosco, Capobianco, Dirce Maria, Figueiro, Luciana Rizzieri, Ferigolo, Maristela, Vissoci, Joao Ricardo N, Barros, Helena M T, Cassol, Mauriceia, Pietrobon, Ricardo",2017,Dropout rate,Not defined,"Random effects model, Metaregression","Dropout proportion, Odds ratio, 95% CI, Coefficient, p-value",51,Range (N),"9, 200",Attrition rate,Range,"10, 80"
417,Multiple sclerosis,Enrolling and keeping participants in multiple sclerosis self-management interventions: a systematic review and meta-analysis.,"Arafah, Alaa M, Bouchard, Vanessa, Mayo, Nancy E",2017,Attrition or dropout rate,Proportion of participants who dropped out from the study (at the first evaluation point post-intervention) out of the number of participants who consented to participate in the study,"Random effects model, Univariate and multivariate metaregression","Coefficient, 95% CI, p-value",32,NR,NR,Attrition rate,Mean (SD),16.5 (15)
440,Rheumatoid arthritis,A systematic review of randomised controlled trials in rheumatoid arthritis: the reporting and handling of missing data in composite outcomes.,"Ibrahim, Fowzia, Tom, Brian D M, Scott, David L, Prevost, Andrew Toby",2016,Dropout rate,Not defined,"Direct comparison, Chi-square, Fisher's exact test","Relative rate, 95% CI",51,NR,NR,NR,NR,NR
448,OCD,Dropout rates in exposure with response prevention for obsessive-compulsive disorder: What do the data really say?.,"Ong, Clarissa W, Clyde, Joseph W, Bluett, Ellen J, Levin, Michael E, Twohig, Michael P",2016,Dropout,Attrition following the start of treatment,"Random effects model, Metaregression, ANOVA","Weighted rates, odds ratios, 95% CI, Coefficients, p-value",21,N,1400,Weighted mean dropout rate,% [95% CI],"17.4 [11.4, 18.4]"
463,Schizophrenia,Prevalence and predictors of treatment dropout from physical activity interventions in schizophrenia: a meta-analysis.,"Vancampfort, Davy, Rosenbaum, Simon, Schuch, Felipe B, Ward, Philip B, Probst, Michel, Stubbs, Brendon",2016,Treatment dropout rate,Unexpected patient attrition among individuals who were randomised to a treatment but failed to complete it,"Random effects model, Metaregression, Subgroup analyses","Dropout rates, 95% CI, coefficients, p-value",19,N,1177,Pooled dropout rate in physical activity interventions,% [95% CI],"22.1 [16.4, 28.9]"
