ref,author_year,trial_char,outcome,tidy_trial_char_tabular,tidy_trial_char_heatmap,trial_char_group,tidy_trial_char_old
55,Bevens et al. (2022),Publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
55,Bevens et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
55,Bevens et al. (2022),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
55,Bevens et al. (2022),intervention with placebo pill,0,Intervention components,Intervention components,Intervention-related,Intervention components
55,Bevens et al. (2022),deviation bias,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
55,Bevens et al. (2022),Publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
55,Bevens et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
55,Bevens et al. (2022),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
55,Bevens et al. (2022),intervention with placebo pill,0,Intervention components,Intervention components,Intervention-related,Intervention components
55,Bevens et al. (2022),deviation bias,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
55,Bevens et al. (2022),Publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
55,Bevens et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
55,Bevens et al. (2022),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
55,Bevens et al. (2022),intervention with placebo pill,0,Intervention components,Intervention components,Intervention-related,Intervention components
55,Bevens et al. (2022),deviation bias,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
70,Bricca et al. (2022),Recruitment method,1,Recruitment strategies,Recruitment-related,Recruitment-related,Recruitment-related
70,Bricca et al. (2022),Follow-up duration,1,Follow-up duration,Follow-up related,Follow-up related,Follow-up related
70,Bricca et al. (2022),Financial incentives for smoking cessation,1,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
70,Bricca et al. (2022),Retention strategies,0,Use of retention strategies,Trial design | Retention strategies,Trial design,Trial design
70,Bricca et al. (2022),non-smoking related financial inentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
70,Bricca et al. (2022),biomarker assessments,0,Biomarker assessments,Outcome | Biomarkers,Outcome measures,Outcome measures
70,Bricca et al. (2022),primary endpoint,0,Primary endpoint,Outcome | Primary endpoint,Outcome measures,Outcome measures
70,Bricca et al. (2022),intervention format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
70,Bricca et al. (2022),treatment frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
70,Bricca et al. (2022),pharmacological support,0,Pharmacological support,Intervention components,Intervention-related,Intervention components
70,Bricca et al. (2022),setting,0,Trial design,Trial design,Trial design,Trial design
70,Bricca et al. (2022),adjuvant interventions,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
70,Bricca et al. (2022),number of behaviour change techniques (BCTs) used,0,Number of components,Intervention components,Intervention-related,Intervention components
70,Bricca et al. (2022),Retention strategies,0,Use of retention strategies,Trial design | Retention strategies,Trial design,Trial design
70,Bricca et al. (2022),non-smoking related financial inentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
70,Bricca et al. (2022),biomarker assessments,0,Biomarker assessments,Outcome | Biomarkers,Outcome measures,Outcome measures
70,Bricca et al. (2022),primary endpoint,0,Primary endpoint,Outcome | Primary endpoint,Outcome measures,Outcome measures
70,Bricca et al. (2022),intervention format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
70,Bricca et al. (2022),treatment frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
70,Bricca et al. (2022),pharmacological support,0,Pharmacological support,Intervention components,Intervention-related,Intervention components
70,Bricca et al. (2022),setting,0,Trial design,Trial design,Trial design,Trial design
70,Bricca et al. (2022),adjuvant interventions,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
70,Bricca et al. (2022),number of behaviour change techniques (BCTs) used,0,Number of components,Intervention components,Intervention-related,Intervention components
70,Bricca et al. (2022),Retention strategies,0,Use of retention strategies,Trial design | Retention strategies,Trial design,Trial design
70,Bricca et al. (2022),non-smoking related financial inentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
70,Bricca et al. (2022),biomarker assessments,0,Biomarker assessments,Outcome | Biomarkers,Outcome measures,Outcome measures
70,Bricca et al. (2022),primary endpoint,0,Primary endpoint,Outcome | Primary endpoint,Outcome measures,Outcome measures
70,Bricca et al. (2022),intervention format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
70,Bricca et al. (2022),treatment frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
70,Bricca et al. (2022),pharmacological support,0,Pharmacological support,Intervention components,Intervention-related,Intervention components
70,Bricca et al. (2022),setting,0,Trial design,Trial design,Trial design,Trial design
70,Bricca et al. (2022),adjuvant interventions,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
70,Bricca et al. (2022),number of behaviour change techniques (BCTs) used,0,Number of components,Intervention components,Intervention-related,Intervention components
94,Goldberg et al. (2021),Condition type,1,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
94,Goldberg et al. (2021),Sample size,1,Sample size,Trial design | Sample size,Trial design,Trial design
95,Harris et al. (2021),Intervention components,0,Intervention components,Intervention components,Intervention-related,Intervention components
95,Harris et al. (2021),intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
95,Harris et al. (2021),session frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
95,Harris et al. (2021),session intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
95,Harris et al. (2021),session volume,0,Setting,Trial design | Setting,Trial design,Trial design
95,Harris et al. (2021),delivery format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
95,Harris et al. (2021),setting,0,Trial design,Trial design,Trial design,Trial design
95,Harris et al. (2021),intervention duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
95,Harris et al. (2021),supervision used,0,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
95,Harris et al. (2021),intervention tailoring,0,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring
95,Harris et al. (2021),intervention adherence,0,Treatment adherence,Outcome | Treatment adherence,Outcome measures,Outcome measures
99,Zhang et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
102,Song et al. (2021),Study design,1,Trial design,Trial design,Trial design,Trial design
102,Song et al. (2021),Delivery format,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
102,Song et al. (2021),Delivery format,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
102,Song et al. (2021),Follow-up duration,1,Follow-up duration,Follow-up related,Follow-up related,Follow-up related
102,Song et al. (2021),Intervention duration,1,Intervention duration,Intervention duration,Intervention-related,Intervention duration
102,Song et al. (2021),Number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
102,Song et al. (2021),enrollment setting,0,Enrolment setting,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),enrollment method,0,Enrolment method,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),Number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
102,Song et al. (2021),enrollment setting,0,Enrolment setting,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),enrollment method,0,Enrolment method,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),Number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
102,Song et al. (2021),enrollment setting,0,Enrolment setting,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),enrollment method,0,Enrolment method,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),Number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
102,Song et al. (2021),enrollment setting,0,Enrolment setting,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),enrollment method,0,Enrolment method,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),Number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
102,Song et al. (2021),enrollment setting,0,Enrolment setting,Enrolment-related,Enrolment-related,Enrolment-related
102,Song et al. (2021),enrollment method,0,Enrolment method,Enrolment-related,Enrolment-related,Enrolment-related
107,Rehman et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),Setting,1,Setting,Trial design | Setting,Trial design,Trial design
111,Vancampfort et al. (2021),Intervention frequency,1,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
111,Vancampfort et al. (2021),Intervention duration,1,Intervention duration,Intervention duration,Intervention-related,Intervention duration
111,Vancampfort et al. (2021),Supervision format,1,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
111,Vancampfort et al. (2021),Qualifications of supervisor,1,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
111,Vancampfort et al. (2021),Motivational strategies,1,Use of motivational strategies,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
111,Vancampfort et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
111,Vancampfort et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
111,Vancampfort et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
111,Vancampfort et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
111,Vancampfort et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
111,Vancampfort et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
111,Vancampfort et al. (2021),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
113,Iliakis et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
113,Iliakis et al. (2021),treatment duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
113,Iliakis et al. (2021),treatment intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
113,Iliakis et al. (2021),setting,0,Trial design,Trial design,Trial design,Trial design
113,Iliakis et al. (2021),treatment orientation,0,Intervention type,Intervention type,Intervention-related,Intervention type
113,Iliakis et al. (2021),trial randomisation,0,Trial design,Trial design,Trial design,Trial design
113,Iliakis et al. (2021),use of phone coaching,0,Intervention components,Intervention components,Intervention-related,Intervention components
113,Iliakis et al. (2021),presence of consultation team,0,Presence of consultation team,Trial conduct,Trial conduct,Trial conduct
113,Iliakis et al. (2021),comorbidity targeted in addition to primary condition (BPD),0,Comorbidities,Eligibility | Comorbidities,Eligibility criteria,Eligibility criteria
120,Edwards-Stewart et al. (2021),Treatment type,1,Intervention type,Intervention type,Intervention-related,Intervention type
120,Edwards-Stewart et al. (2021),Treatment type,1,Intervention type,Intervention type,Intervention-related,Intervention type
120,Edwards-Stewart et al. (2021),Population,0,Population studied,Trial design | Population,Trial design,Trial design
120,Edwards-Stewart et al. (2021),country or study,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
120,Edwards-Stewart et al. (2021),total sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
120,Edwards-Stewart et al. (2021),active treatment frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
120,Edwards-Stewart et al. (2021),session frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
120,Edwards-Stewart et al. (2021),use of telehealth,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
120,Edwards-Stewart et al. (2021),use of incentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
120,Edwards-Stewart et al. (2021),originator of active treatment being part of study team,0,Involvement of treatment originator,Trial conduct,Trial conduct,Trial conduct
120,Edwards-Stewart et al. (2021),Population,0,Population studied,Trial design | Population,Trial design,Trial design
120,Edwards-Stewart et al. (2021),country or study,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
120,Edwards-Stewart et al. (2021),total sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
120,Edwards-Stewart et al. (2021),active treatment frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
120,Edwards-Stewart et al. (2021),session frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
120,Edwards-Stewart et al. (2021),use of telehealth,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
120,Edwards-Stewart et al. (2021),use of incentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
120,Edwards-Stewart et al. (2021),originator of active treatment being part of study team,0,Involvement of treatment originator,Trial conduct,Trial conduct,Trial conduct
145,Elsner et al. (2020),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
146,Minozzi et al. (2020),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
153,Shah et al. (2020),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
201,Zhou et al. (2020),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
201,Zhou et al. (2020),publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
201,Zhou et al. (2020),treatment dose,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
201,Zhou et al. (2020),study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
211,Torous et al. (2020),Intervention elements,1,Intervention components,Intervention components,Intervention-related,Intervention components
211,Torous et al. (2020),Intervention elements,1,Intervention components,Intervention components,Intervention-related,Intervention components
211,Torous et al. (2020),Sample size,1,Sample size,Trial design | Sample size,Trial design,Trial design
211,Torous et al. (2020),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
211,Torous et al. (2020),population,0,Population studied,Trial design | Population,Trial design,Trial design
211,Torous et al. (2020),eligibility criteria,0,Eligibility criteria,Eligibility criteria,Eligibility criteria,Eligibility criteria
211,Torous et al. (2020),financial incentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
211,Torous et al. (2020),intervention duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
211,Torous et al. (2020),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
211,Torous et al. (2020),population,0,Population studied,Trial design | Population,Trial design,Trial design
211,Torous et al. (2020),eligibility criteria,0,Eligibility criteria,Eligibility criteria,Eligibility criteria,Eligibility criteria
211,Torous et al. (2020),financial incentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
211,Torous et al. (2020),intervention duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
211,Torous et al. (2020),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
211,Torous et al. (2020),population,0,Population studied,Trial design | Population,Trial design,Trial design
211,Torous et al. (2020),eligibility criteria,0,Eligibility criteria,Eligibility criteria,Eligibility criteria,Eligibility criteria
211,Torous et al. (2020),financial incentives,0,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
211,Torous et al. (2020),intervention duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
214,Furukawa et al. (2020),Treatment delivery format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
215,Jabardo-Camprubi et al. (2020),Treatment duration,1,Intervention duration,Intervention duration,Intervention-related,Intervention duration
215,Jabardo-Camprubi et al. (2020),Treatment protocols,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
217,Windle et al. (2020),Preference accommodation,1,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring
217,Windle et al. (2020),Preferred treatment,1,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring
221,Li et al. (2020),Publication year,1,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
221,Li et al. (2020),Placeo lead-in period,1,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
221,Li et al. (2020),Study location,1,Trial location(s),Trial design | Location(s),Trial design,Trial design
221,Li et al. (2020),Trial duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
221,Li et al. (2020),Number of sites,1,Number of sites,Trial design | Number of sites,Trial design,Trial design
221,Li et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
221,Li et al. (2020),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
221,Li et al. (2020),number of active arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
221,Li et al. (2020),response rate,0,Response rate,Outcome | Engagement/Response,Outcome measures,Outcome measures
221,Li et al. (2020),number of visits,0,Visit frequency,Trial design | Visit frequency,Trial design,Trial design
221,Li et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
221,Li et al. (2020),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
221,Li et al. (2020),number of active arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
221,Li et al. (2020),response rate,0,Response rate,Outcome | Engagement/Response,Outcome measures,Outcome measures
221,Li et al. (2020),number of visits,0,Visit frequency,Trial design | Visit frequency,Trial design,Trial design
221,Li et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
221,Li et al. (2020),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
221,Li et al. (2020),number of active arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
221,Li et al. (2020),response rate,0,Response rate,Outcome | Engagement/Response,Outcome measures,Outcome measures
221,Li et al. (2020),number of visits,0,Visit frequency,Trial design | Visit frequency,Trial design,Trial design
221,Li et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
221,Li et al. (2020),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
221,Li et al. (2020),number of active arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
221,Li et al. (2020),response rate,0,Response rate,Outcome | Engagement/Response,Outcome measures,Outcome measures
221,Li et al. (2020),number of visits,0,Visit frequency,Trial design | Visit frequency,Trial design,Trial design
221,Li et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
221,Li et al. (2020),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
221,Li et al. (2020),number of active arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
221,Li et al. (2020),response rate,0,Response rate,Outcome | Engagement/Response,Outcome measures,Outcome measures
221,Li et al. (2020),number of visits,0,Visit frequency,Trial design | Visit frequency,Trial design,Trial design
222,Linardon et al. (2020),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
222,Linardon et al. (2020),Intervention format,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
222,Linardon et al. (2020),Financial incentives,1,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
222,Linardon et al. (2020),Reminders for engagement,1,Use of reminders,Trial design | Retention strategies,Trial design,Trial design
222,Linardon et al. (2020),Enrollment method,1,Enrolment method,Enrolment-related,Enrolment-related,Enrolment-related
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
225,Palmowski et al. (2020),Study duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
225,Palmowski et al. (2020),Intervention arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
225,Palmowski et al. (2020),Recruitment age limit,0,Age limit,Eligibility criteria,Eligibility criteria,Eligibility criteria
225,Palmowski et al. (2020),region,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
225,Palmowski et al. (2020),study size,0,Sample size,Trial design | Sample size,Trial design,Trial design
225,Palmowski et al. (2020),Recruitment age limit,0,Age limit,Eligibility criteria,Eligibility criteria,Eligibility criteria
225,Palmowski et al. (2020),region,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
225,Palmowski et al. (2020),study size,0,Sample size,Trial design | Sample size,Trial design,Trial design
227,Dixon et al. (2020),Therapist attending consultant team meetings,1,Clinician-Consultant meetings,Trial conduct,Trial conduct,Trial conduct
227,Dixon et al. (2020),Availability of telephone crisis coaching,1,Clinician telephone crisis coaching,Trial conduct,Intervention-related,Trial conduct
227,Dixon et al. (2020),Targeted disorder,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
227,Dixon et al. (2020),dropout definition,0,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
227,Dixon et al. (2020),delivery format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
227,Dixon et al. (2020),therapist experience,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
227,Dixon et al. (2020),therapist adherence,0,Clinician protocol adherence,Trial conduct,Trial conduct,Trial conduct
227,Dixon et al. (2020),treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
227,Dixon et al. (2020),Targeted disorder,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
227,Dixon et al. (2020),dropout definition,0,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
227,Dixon et al. (2020),delivery format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
227,Dixon et al. (2020),therapist experience,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
227,Dixon et al. (2020),therapist adherence,0,Clinician protocol adherence,Trial conduct,Trial conduct,Trial conduct
227,Dixon et al. (2020),treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
256,Matsusaki et al. (2019),Publication year,1,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
256,Matsusaki et al. (2019),Study duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
256,Matsusaki et al. (2019),Number of sites,1,Number of sites,Trial design | Number of sites,Trial design,Trial design
256,Matsusaki et al. (2019),Placebo lead-in period,0,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
256,Matsusaki et al. (2019),number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
256,Matsusaki et al. (2019),placebo randomisation rate,0,Randomisation rate,Trial conduct,Trial conduct,Trial conduct
256,Matsusaki et al. (2019),treatment regimen,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
256,Matsusaki et al. (2019),active comparator class,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
256,Matsusaki et al. (2019),setting,0,Trial design,Trial design,Trial design,Trial design
256,Matsusaki et al. (2019),number of countries,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
